Type|2CP

Map|Anubis
Tags|High Ground|Verticality|Chokes

Side|Attack

Segment|First
Strategy|Point A, Countering Plateau Hold
Section|Execution of Market Alley Approach
Tip|Push through [market alley] as a group to ensure safety.
Tip|A Range dps should cross fire from [arch choke] when pushing [plateau].
Tip|Use [plateau] mega health to help get tanks through choke spam.
Section|Noteworthy Picks
Pick|Soldier: 76
Tip|Soldier: 76 has the self sustain, range, and mobility to properly crossfire from [arch] choke.
Pick|Widowmaker
Tip|Widow can set up difficult to reach crossfire from top [arch].
Section|Execution of Open Ivy Approach
Tip|Push through [open ivy] as a group to ensure safety.
Tip|Push to [ivy stairwell] to [ivy roof] and [carpet roof] to secure high ground for Supports/Range dps.
Tip|Tanks push onto [point A].
Tip|Beware of engages from behind when crossing to [open ivy].
Section|Noteworthy Picks
Pick|Lucio
Tip|Lucio speed boost makes crossing to [open ivy] much less dangerous.


Strategy|Point A, Countering Point Hold
Section|Execution of Open Ivy Approach
Tip|Push through [open ivy] as a group to ensure safety.
Tip|Push to [ivy stairwell] to [ivy roof] and [carpet roof] to secure high ground for Supports/Range dps.
Tip|Tanks push onto [point A].
Tip|Pressure the enemy team into retreating off [point A] or engaging.
Section|Noteworthy Picks
Pick|Lucio
Tip|Lucio speed boost makes crossing to [open ivy] much less dangerous.

Strategy|Point A, Countering Ivy Roof Hold
Section|Execution of Lower Ivy Approach
Tip|Push to [lower ivy room] as a group to ensure safety.
Tip|Supports/Range dps can use [lower ivy room] as cover from [ivy roof] angles. 
Tip|Tanks push [point A].
Tip|Deny [ivy roof] cover by crossfire.
Tip|Contest [point A] to force them to engage.
Section|Noteworthy Picks
Pick|Soldier: 76
Tip|Soldier: 76 has the self sustain, range, and mobility to properly crossfire from [plateau].
Pick|Widowmaker
Tip|Widow can set up difficult to reach crossfire from [tower roof] or [plateau].

Segment|Last
Strategy|Point B, Countering Arch Hold
Section|Execution of Cave Approach
Tip|Push [cave alley] to [cave] as a group for safety.
Tip|Punish any isolated enemies chasing into [cave].
Tip|If the enemy falls back to Point Hold, double back to control [forward box].
Tip|If the enemy does not fall back to Point Hold, push to [point cave] and hold [point B].
Tip|A flanker from [steps] can harass the backline after initiation.
Section|Noteworthy Picks
Pick|Lucio
Tip|Lucio speed boost makes crossing to [cave] much less dangerous. 

Strategy|Point B, Countering Point Hold
Section|Execution of Step Alley Approach
